experimento	fecha	cols	rows	pos_bagging_fraction	neg_bagging_fraction	max_depth	max_bin	seed	extra_trees	drop_rate	max_drop	skip_drop	metric	first_metric_only	objective	boost_from_average	force_row_wise	feature_pre_filter	boosting	num_threads	verbosity	verbose	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	lambda_l1	lambda_l2	min_gain_to_split	bagging_fraction	num_iterations	prob_corte	estimulos	ganancia	iteracion_bayesiana
8122HTe	20220717 161129	785	49403	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.120108922601493	0.874992565276655	1649	11380	2.56136374001883	81.3378940369069	10.3181562319904	0.435850110707986	127	0.20931272871923	9306	13014000	52
8122HTe	20220717 161139	785	49403	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.225219177330381	0.336120929427475	594	6926	3.92338743445344	115.036052852895	4.70401514784982	0.346527589134451	91	0.216064295881182	8454	14586000	53
8122HTe	20220717 161149	785	49403	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.264434704506353	0.480829062701755	547	16681	9.16913985287481	111.618907286889	13.701696993892	0.67480374180656	73	0.202330405272806	10670	13930000	54
8122HTe	20220717 161159	785	49403	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.105387992598416	0.725334675881905	850	2300	5.83872404943907	112.090586689883	16.2114242828548	0.532406590893358	53	0.151817403013569	12298	14462000	55
8122HTe	20220717 161211	785	49403	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.172118940346899	0.153769406648902	35	18645	6.20552391637906	84.9943531149691	0.590026790795954	0.914166819113803	286	0.163940059995353	13018	13862000	56
8122HTe	20220717 161230	785	49403	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.154906045525344	0.889480110521922	882	6640	6.03238280938012	53.7769917200602	1.84374200087779	0.764766103062938	179	0.20879528916941	9176	15064000	57
8122HTe	20220717 161240	785	49403	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.248067699000163	0.878397145936426	1263	2629	2.89285533700444	35.3849910075801	12.9760810387247	0.771608616250394	35	0.191543958210772	8862	14058000	58
8122HTe	20220717 161251	785	49403	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.198017885252009	0.508987465379194	864	10542	7.87827514226515	107.028061579937	8.17050155570309	0.748557617703114	89	0.263508047699094	7664	12736000	59
8122HTe	20220717 161309	785	49403	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.230664635491424	0.370366697968115	367	20616	0.175450453839349	185.90476636049	0.163530828972127	0.943337087430758	543	0.172812833059942	11242	14318000	60
8122HTe	20220717 161328	785	49403	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0419951858184447	0.612980927287732	1195	15279	6.24659991172085	78.8209867350146	17.062602647527	0.366451465089227	313	0.254081920963321	8250	12510000	61
8122HTe	20220717 161342	785	49403	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0967852202457932	0.271347342523441	16	16396	1.05286590378428	197.045186266723	5.07008640670146	0.729343573616964	367	0.216951732362291	10000	13880000	62
8122HTe	20220717 161353	785	49403	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.11886899698311	0.482111058284908	1044	16639	0.960361056790574	41.6781771546445	19.4965394055616	0.742920464447492	81	0.176143983582729	12654	13146000	63
8122HTe	20220717 161403	785	49403	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.250961327681434	0.129728877914183	1168	16295	7.632666689248	162.418735305035	2.26259924326201	0.832698133350478	184	0.225831465877137	9130	13190000	64
8122HTe	20220717 161415	785	49403	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0587002848890915	0.296656270080265	995	3088	3.97663688045436	45.3652562753661	9.28470305349768	0.859168350239155	170	0.186342326252828	9776	14824000	65
8122HTe	20220717 161434	785	49403	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.106291306866517	0.2323550168303	1688	8404	3.47479885014789	97.4478188131556	1.37290314698896	0.76500512691257	552	0.183361005466979	10798	15482000	66
8122HTe	20220717 161517	785	49403	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0283672860967641	0.38778425615822	19	20622	0.175292620620739	183.288991620181	2.92073707438316	0.9257383848001	1682	0.18375118307921	11508	13332000	67
8122HTe	20220717 161526	785	49403	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.241026458667671	0.294208147985408	21	21102	6.1015531863418	34.0755462685494	19.936381818521	0.429452816124832	65	0.213736523588265	10260	12180000	68
8122HTe	20220717 161545	785	49403	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.180428455887549	0.650525784862548	230	14568	2.78477537034894	65.6421817493559	0.910253578298827	0.817257038104202	394	0.193819537331417	10406	14314000	69
